commit	paths	parentCount	cluster	classification	disposition	talariaStatus	predecessors
3e5e4c5d20006e0f29f5389224ee0265e444dd3f	cli.py;hermes_state.py	1	R01-transcript-and-canonical-state	portable-already-covered	covered-by-predecessor-ledger	rich-transcript-current	client-wire:W01-transcript-rewind-carriers
3f075d41dd593191b4bcf11fb608b72d698c3d3e	agent/agent_init.py;agent/anthropic_adapter.py;agent/auxiliary_client.py;agent/bedrock_adapter.py;agent/chat_completion_helpers.py;agent/codex_responses_adapter.py;agent/credential_pool.py;agent/deadline.py;agent/image_routing.py;agent/insights.py;agent/message_metadata.py;agent/model_metadata.py;agent/models_dev.py;agent/pet/generate/orchestrate.py;agent/prompt_builder.py;agent/prompt_cache_scope.py;agent/relay_llm.py;agent/relay_runtime.py;agent/system_prompt.py;agent/thread_scoped_output.py;agent/trace_upload.py;agent/transports/chat_completions.py;agent/transports/codex.py;agent/usage_pricing.py;apps/shared/src/cron-trigger-controller.ts;apps/shared/src/index.ts;apps/shared/src/json-rpc-gateway.ts;cli.py;cron/executions.py;hermes_constants.py;hermes_state.py;hermes_state_common.py;hermes_state_schema.py;hermes_state_search.py;mcp_serve.py;model_tools.py;plugins/cron_providers/chronos/__init__.py;plugins/kanban/dashboard/plugin_api.py;plugins/memory/retaindb/__init__.py;plugins/model-providers/actual/__init__.py;plugins/observability/langfuse/__init__.py;plugins/platforms/discord/adapter.py;plugins/platforms/email/adapter.py;plugins/platforms/telegram/adapter.py;tools/approval.py;tools/binary_extensions.py;tools/browser_tool.py;tools/browser_use_cli.py;tools/clarify_gateway.py;tools/environments/base.py;tools/environments/local.py;tools/file_operations.py;tools/file_tools.py;tools/lazy_deps.py;tools/mcp_oauth.py;tools/memory_tool.py;tools/project_tools.py;tools/react_to_message_tool.py;tools/self_repo_guard.py;tools/send_message_tool.py;tools/session_search_tool.py;tools/skills_hub.py;tools/todo_tool.py;tools/vision_tools.py;toolsets.py;ui-tui/packages/hermes-ink/src/ink/components/App.tsx;ui-tui/packages/hermes-ink/src/ink/ink.tsx;ui-tui/packages/hermes-ink/src/ink/parse-keypress.ts;ui-tui/packages/hermes-ink/src/ink/render-node-to-output.ts;ui-tui/packages/hermes-ink/src/ink/terminal.ts;ui-tui/src/app/createGatewayEventHandler.ts;ui-tui/src/app/inputSelectionStore.ts;ui-tui/src/app/interfaces.ts;ui-tui/src/app/sessionResumeView.ts;ui-tui/src/app/slash/commands/core.ts;ui-tui/src/app/turnController.ts;ui-tui/src/app/uiStore.ts;ui-tui/src/app/useConfigSync.ts;ui-tui/src/app/useInputHandlers.ts;ui-tui/src/app/useMainApp.ts;ui-tui/src/app/usePet.ts;ui-tui/src/app/useSessionLifecycle.ts;ui-tui/src/components/appLayout.tsx;ui-tui/src/components/messageLine.tsx;ui-tui/src/components/streamingAssistant.tsx;ui-tui/src/components/textInput.tsx;ui-tui/src/components/thinking.tsx;ui-tui/src/domain/messages.ts;ui-tui/src/gatewayTypes.ts;ui-tui/src/lib/messages.ts;ui-tui/src/lib/petPolling.ts;ui-tui/src/lib/viewportStore.ts;ui-tui/src/lib/virtualHeights.ts;ui-tui/src/types.ts;web/src/App.tsx;web/src/components/MemoryPressureBanner.tsx;web/src/components/ProfileScopeBanner.tsx;web/src/lib/api.ts;web/src/lib/pty-composition.ts;web/src/lib/pty-keyboard-shortcuts.ts;web/src/lib/pty-scroll.ts;web/src/pages/ChatPage.tsx;web/src/pages/CronPage.tsx;web/src/plugins/registry.ts	2	M01-merge-integration	merge-integration	merge-integration	predecessor-ledger	client-wire:W01-transcript-rewind-carriers;desktop-current:D10-merge-parent-integration;cli-current:CLI00-merge-parent-integration
d65b7d0760235210f5cf29c0eaaf98fe10078546	cli.py;hermes_state.py	2	M01-merge-integration	merge-integration	merge-integration	predecessor-ledger	client-wire:W01-transcript-rewind-carriers;desktop-current:D10-merge-parent-integration;cli-current:CLI00-merge-parent-integration
fcea2175e23fdeb95f7e615f0cc7d6e5f3f485b0	agent/auxiliary_client.py;agent/command_token_source.py;agent/secret_sources/bitwarden.py;apps/shared/src/backend-scope.ts;apps/shared/src/index.ts;cli.py;hermes_state.py;tools/browser_use_cli.py	2	M01-merge-integration	merge-integration	merge-integration	predecessor-ledger	client-wire:W01-transcript-rewind-carriers;desktop-current:D10-merge-parent-integration;cli-current:CLI00-merge-parent-integration
37280c7e0c85de1902c95c9fa145acf114abc843	cli.py;hermes_state.py	2	M01-merge-integration	merge-integration	merge-integration	predecessor-ledger	core-runtime:R09-merge-parent-integration
7ca19874593becb81aa742aae5800eac8c9088d2	agent/agent_init.py;agent/chat_completion_helpers.py;agent/prompt_builder.py;agent/repetition_guard.py;agent/shell_hooks.py;agent/system_prompt.py;agent/transports/chat_completions.py;agent/transports/codex.py;agent/verification_evidence.py;apps/shared/src/index.ts;apps/shared/src/json-rpc-gateway.ts;batch_runner.py;cli.py;cron/lifecycle_guard.py;hermes_state.py;hermes_state_common.py;model_tools.py;plugins/observability/nemo_relay/__init__.py;plugins/platforms/discord/adapter.py;plugins/platforms/telegram/adapter.py;tools/approval.py;tools/computer_use/browser_route.py;tools/computer_use/cua_backend.py;tools/computer_use/doctor.py;tools/computer_use/schema.py;tools/computer_use/tool.py;tools/mcp_oauth.py;tools/mcp_oauth_manager.py;tools/skills_hub.py;tools/terminal_hints.py;web/src/lib/api.ts;web/src/lib/session-prune.ts;web/src/pages/SessionsPage.tsx	2	M01-merge-integration	merge-integration	merge-integration	predecessor-ledger	client-wire:W01-transcript-rewind-carriers;desktop-current:D10-merge-parent-integration;cli-current:CLI00-merge-parent-integration
149757a63ad06bd25e8c590715a826d94d1f468c	cli.py;hermes_state.py	2	M01-merge-integration	merge-integration	merge-integration	predecessor-ledger	core-runtime:R09-merge-parent-integration;desktop-current:D10-merge-parent-integration;cli-current:CLI00-merge-parent-integration
2b33a09fcb59932cc28d094a5c2c033f0db7828a	cli.py;hermes_state.py	2	M01-merge-integration	merge-integration	merge-integration	predecessor-ledger	core-runtime:R09-merge-parent-integration;desktop-current:D10-merge-parent-integration
723dbda0414ce2d8fdc86283b76302537d91b724	agent/agent_init.py;plugins/image_gen/openrouter/__init__.py;plugins/image_gen/xai/__init__.py;plugins/platforms/discord/adapter.py;plugins/platforms/feishu/adapter.py;plugins/platforms/matrix/adapter.py;plugins/platforms/raft/adapter.py;plugins/platforms/slack/adapter.py;plugins/platforms/telegram/adapter.py;plugins/platforms/wecom/adapter.py;plugins/platforms/whatsapp/adapter.py;tools/apply_layout_tool.py;tools/bot_mode_probe.py;tools/image_generation_tool.py;tools/mcp_oauth.py;tools/mcp_oauth_manager.py;tools/tool_search.py;tools/tour_tool.py;toolsets.py;ui-tui/packages/hermes-ink/src/ink/ink.tsx	2	M01-merge-integration	merge-integration	merge-integration	predecessor-ledger	authority:C01-canonical-routing;desktop-current:D10-merge-parent-integration;cli-current:CLI00-merge-parent-integration
336b3216d51938f790f28f08e85bfba9d3ea543f	agent/agent_init.py;agent/chat_completion_helpers.py;apps/shared/src/data-url-read-max.ts;apps/shared/src/index.ts;apps/shared/src/translucency.ts;hermes_constants.py;tools/image_generation_tool.py;ui-tui/packages/hermes-ink/src/ink/ansi-transition.ts;ui-tui/src/components/textInput.tsx	2	M01-merge-integration	merge-integration	merge-integration	predecessor-ledger	core-runtime:R09-merge-parent-integration;desktop-current:D10-merge-parent-integration;cli-current:CLI00-merge-parent-integration
