commit	paths	cluster	classification	disposition	contract	evidence	required
67ee481621449bd8fe798d7acb642795660c6399	gateway/session.py	G01-client-projection	portable-mobile-contract	covered-current-talaria	Names-served profile and gateway API projection remain bounded and source-qualified.	Current Talaria source-routing and profile presentation policies cover the portable projection.	Retain exact gateway/profile/source ownership; live proof remains tracked by predecessor ledgers.
97e32d49acd54906c16d31544ec79971b4fb7de0	gateway/platforms/api_server.py	G01-client-projection	portable-mobile-contract	covered-current-talaria	Names-served profile and gateway API projection remain bounded and source-qualified.	Current Talaria source-routing and profile presentation policies cover the portable projection.	Retain exact gateway/profile/source ownership; live proof remains tracked by predecessor ledgers.
b2c4f1f376167e7e34a88c3dbd544e1fdc848c14	gateway/platforms/api_server.py	G01-client-projection	portable-mobile-contract	covered-current-talaria	Names-served profile and gateway API projection remain bounded and source-qualified.	Current Talaria source-routing and profile presentation policies cover the portable projection.	Retain exact gateway/profile/source ownership; live proof remains tracked by predecessor ledgers.
1977c3d2ebb486501a126ce7a97a2fcdf78710d6	gateway/browser_control_artifacts.py;gateway/browser_control_broker.py;gateway/platforms/api_server.py	G02-browser-host	gateway-host-runtime	host-only	Browser-controller artifact storage, broker lifecycle, and API exposure execute on the Hermes host.	No mobile client contract is introduced by these host implementation changes.	Verify upstream host deployment; do not reproduce a browser controller on iOS.
a5882058de7db8c34bf6d72f05c42183b08ab46b	gateway/browser_control_broker.py	G02-browser-host	gateway-host-runtime	host-only	Browser-controller artifact storage, broker lifecycle, and API exposure execute on the Hermes host.	No mobile client contract is introduced by these host implementation changes.	Verify upstream host deployment; do not reproduce a browser controller on iOS.
652e0a72d177eaa53fb53ec777e3f532438cf6a8	gateway/browser_control_broker.py	G02-browser-host	gateway-host-runtime	host-only	Browser-controller artifact storage, broker lifecycle, and API exposure execute on the Hermes host.	No mobile client contract is introduced by these host implementation changes.	Verify upstream host deployment; do not reproduce a browser controller on iOS.
847289864de158b31a80153a69f3e1460352574e	gateway/browser_control_artifacts.py;gateway/browser_control_broker.py;gateway/platforms/api_server.py	G02-browser-host	gateway-host-runtime	host-only	Browser-controller artifact storage, broker lifecycle, and API exposure execute on the Hermes host.	No mobile client contract is introduced by these host implementation changes.	Verify upstream host deployment; do not reproduce a browser controller on iOS.
23a64a97ec928945b49389e8dfb6d06a11cb0132	gateway/platforms/api_server.py	G02-browser-host	gateway-host-runtime	host-only	Browser-controller artifact storage, broker lifecycle, and API exposure execute on the Hermes host.	No mobile client contract is introduced by these host implementation changes.	Verify upstream host deployment; do not reproduce a browser controller on iOS.
c16c262d01c192850cabd9b6510beb7b23486b3e	gateway/browser_control_broker.py	G02-browser-host	gateway-host-runtime	host-only	Browser-controller artifact storage, broker lifecycle, and API exposure execute on the Hermes host.	No mobile client contract is introduced by these host implementation changes.	Verify upstream host deployment; do not reproduce a browser controller on iOS.
2cb8794f7a061fdd6310e3d45dc53c4d371c52d4	gateway/browser_control_artifacts.py	G02-browser-host	gateway-host-runtime	host-only	Browser-controller artifact storage, broker lifecycle, and API exposure execute on the Hermes host.	No mobile client contract is introduced by these host implementation changes.	Verify upstream host deployment; do not reproduce a browser controller on iOS.
0b8a848754ecce57081f295cc62709dc5a8713e1	gateway/platforms/api_server.py	G01-client-projection	portable-mobile-contract	covered-current-talaria	Names-served profile and gateway API projection remain bounded and source-qualified.	Current Talaria source-routing and profile presentation policies cover the portable projection.	Retain exact gateway/profile/source ownership; live proof remains tracked by predecessor ledgers.
2584b7c4eca82ada05f16eba08936d157b483329	gateway/browser_control_artifacts.py;gateway/browser_control_broker.py;gateway/platforms/api_server.py	G07-merge-integration	merge-integration	merge-integration	Merge-parent integration carries already classified gateway behavior without a distinct retained contract.	Every-parent union records the merge contribution explicitly.	Covered by final-source and predecessor/live matrices; no separate feature.
c45e2b19c3cc1f623a89f7409145223cf65fb238	gateway/session.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
