commit	paths	cluster	disposition	impact	contract	evidence	required
3e5e4c5d20006e0f29f5389224ee0265e444dd3f	tui_gateway/methods_prompt.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/server.py	W01-transcript-rewind-carriers	portable-implemented-live-proof	request,response	Composite compaction carriers remain model-visible user turns while destructive rewind retry and undo preserve durable history.	TranscriptActing row-id addresses survivor rebinding and transcript action leases plus focused transcript mutation tests.	Live edit retry and undo before and after compaction including reconnect and consecutive rewinds.
3f075d41dd593191b4bcf11fb608b72d698c3d3e	hermes_cli/web_routers/cron.py;hermes_cli/web_routers/git.py;hermes_cli/web_routers/mcp.py;hermes_cli/web_routers/profiles.py;hermes_cli/web_routers/sessions.py;hermes_cli/web_server.py;tui_gateway/mcp_oauth_sessions.py;tui_gateway/mcp_rpc_helpers.py;tui_gateway/methods_complete.py;tui_gateway/methods_profiles.py;tui_gateway/methods_prompt.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/project_tree.py;tui_gateway/server.py	W01-transcript-rewind-carriers	merge-integration	none	Merge integration carries the composite-carrier wire without a distinct retained contract.	Final W01 net source and exact merge-parent path union.	Covered by the W01 live matrix; no separate client implementation.
d65b7d0760235210f5cf29c0eaaf98fe10078546	tui_gateway/methods_prompt.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/server.py	W01-transcript-rewind-carriers	merge-integration	none	Merge preserves carrier-aware prompt session and tool behavior.	Final W01 source and exact history inventory.	No independent action beyond W01 verification.
fcea2175e23fdeb95f7e615f0cc7d6e5f3f485b0	tui_gateway/methods_prompt.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/server.py	W01-transcript-rewind-carriers	merge-integration	none	Merge reconciles carrier handling with contemporaneous gateway changes.	Final W01 source and exact merge path proof.	No independent client feature.
7ca19874593becb81aa742aae5800eac8c9088d2	hermes_cli/web_routers/mcp.py;hermes_cli/web_routers/sessions.py;hermes_cli/web_server.py;tui_gateway/methods_prompt.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/server.py	W01-transcript-rewind-carriers	portable-implemented-live-proof	request,response	A truncating submit may accept rebind_survivor_row_ids and answer survivor_row_id_map; legacy callers still receive ordered survivor_user_row_ids.	Talaria uses row-id truncation and consumes survivor_user_row_ids in TranscriptActing; the optional map does not replace that response.	Certify composite carrier and alternation-repair rewinds; consider the map only if visible-order rebinding proves insufficient.
d67583ac66ee805594e67491eb2985e3f96655cf	tui_gateway/methods_prompt.py	W01-transcript-rewind-carriers	gateway-owned-live-proof	response	Rewind rebinding classifies repaired durable rows without presenting them as untouched survivors.	Talaria consumes the bounded survivor list and clears absent row ids.	Gateway fixture plus one repaired-row device rewind.
02e270a47edb523a52293c64e30a6ec0c18c762f	tui_gateway/methods_prompt.py;tui_gateway/methods_tools.py;tui_gateway/server.py	W01-transcript-rewind-carriers	portable-implemented-live-proof	request,response	Old-session edits target the owning profile database and window-relative visible-user ordinal and return fresh survivor ids.	Source-qualified transcript action route row-id address mutation lease and survivor rebinding tests.	Live edit an old profile session with colliding ids on another profile.
abf87e7248b0218a56fb7f05be8379c7d19dfa7f	hermes_cli/web_routers/cron.py;hermes_cli/web_routers/profiles.py;hermes_cli/web_routers/sessions.py;hermes_cli/web_routers/skills.py;hermes_cli/web_server.py;tui_gateway/compute_host.py;tui_gateway/methods_config.py;tui_gateway/methods_profiles.py;tui_gateway/methods_prompt.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/server.py	W01-transcript-rewind-carriers	merge-integration	none	Merge retains repaired-row survivor mapping across gateway surfaces.	Final W01 implementation and merge-parent path inventory.	Covered by W01 live proof.
a2a23a8f7e30e644702459cfe0c4c74897524cfd	tui_gateway/server.py	W01-transcript-rewind-carriers	gateway-owned-live-proof	event	Display projections hide internal compaction carriers while live model history retains them.	Ordered transcript parts and hydration projections exclude hidden scaffolding without deleting source history.	Compare Desktop and phone transcript around compaction.
5df1d0e113279a892e4eec401a437f443f7a245c	hermes_cli/web_server.py;tui_gateway/methods_browser_control.py;tui_gateway/server.py;tui_gateway/ws.py	W02-browser-controller	dashboard-only	request,response,event,security	Authenticated dashboard controllers register exact server-derived identity and capability scope and receive broker commands as events.	Talaria is not a browser-extension controller and exposes no raw browser-control surface.	N/A mobile implementation; retain gateway security tests and reject accidental capability exposure.
c9fd5223f62317796b1a7c260bb1e8a1a22c348a	hermes_cli/web_server.py;tui_gateway/methods_browser_control.py;tui_gateway/ws.py	W02-browser-controller	dashboard-only	request,response,event,security	Controller result heartbeat detach and action dispatch remain exact-scope and allowlisted.	No Talaria controller role or extension action bridge exists.	N/A mobile; gateway/dashboard integration proof only.
d524cc9a16e13be42762984d21c1e4d19fbce24e	tui_gateway/methods_browser_control.py;tui_gateway/ws.py	W02-browser-controller	dashboard-only	security	Controller routing ignores client-asserted principals and binds completion to authenticated owner transport.	Talaria neither registers nor completes browser-controller commands.	N/A port; preserve negative cross-tenant gateway tests.
095a1d078c5c1cf7a55d47cafc50179fc463e790	tui_gateway/methods_browser_control.py;tui_gateway/ws.py	W02-browser-controller	dashboard-only	event,security	Disconnect parks an owner controller so reconnect can settle in-flight work without admitting new dispatch.	Mobile has no controller ownership lifecycle.	N/A port; dashboard reconnect proof.
