commit	paths	cluster	classification	disposition	talariaStatus	predecessors
7c7cd24d00b281d25b4cb9292fbc6acf0a45478a	hermes_cli/dashboard_auth/cookies.py	CLI01-dashboard-desktop-surface	desktop-only	desktop-only	none	none
5e57bf19a2d82b87f957332fcdeda655091ee6b6	hermes_cli/dashboard_auth/cookies.py;hermes_cli/dashboard_auth/routes.py	CLI01-dashboard-desktop-surface	desktop-only	desktop-only	none	none
52629a5de6561ff348e8e25819abd7be533d07d8	hermes_cli/dashboard_auth/cookies.py	CLI01-dashboard-desktop-surface	desktop-only	desktop-only	none	none
3f075d41dd593191b4bcf11fb608b72d698c3d3e	hermes_cli/_early_recovery.py;hermes_cli/_install_repair.py;hermes_cli/_scan_venv_blockers.py;hermes_cli/active_sessions.py;hermes_cli/auth.py;hermes_cli/backup.py;hermes_cli/banner.py;hermes_cli/cli_agent_setup_mixin.py;hermes_cli/cli_commands_mixin.py;hermes_cli/commands.py;hermes_cli/config.py;hermes_cli/config_defaults.py;hermes_cli/config_migrations.py;hermes_cli/console_engine.py;hermes_cli/cron.py;hermes_cli/dashboard_auth/native_flow.py;hermes_cli/dashboard_auth/routes.py;hermes_cli/dashboard_procs.py;hermes_cli/env_loader.py;hermes_cli/gateway.py;hermes_cli/kanban_db.py;hermes_cli/loops.py;hermes_cli/main.py;hermes_cli/managed_uv.py;hermes_cli/mcp_catalog.py;hermes_cli/model_cost_guard.py;hermes_cli/model_data_policy_guard.py;hermes_cli/model_selection_guards.py;hermes_cli/model_setup_flows.py;hermes_cli/model_switch.py;hermes_cli/models.py;hermes_cli/npm_engine.py;hermes_cli/observability/relay_shared_metrics.py;hermes_cli/oneshot.py;hermes_cli/pets.py;hermes_cli/plugins.py;hermes_cli/plugins_cmd.py;hermes_cli/projects_db.py;hermes_cli/pty_session.py;hermes_cli/runtime_provider.py;hermes_cli/secrets_cli.py;hermes_cli/service_manager.py;hermes_cli/session_export.py;hermes_cli/session_export_html.py;hermes_cli/session_lost_and_found.py;hermes_cli/sessions_cmd.py;hermes_cli/stderr_timestamp.py;hermes_cli/tips.py;hermes_cli/tools_config.py;hermes_cli/update_cmd.py;hermes_cli/urllib_security.py;hermes_cli/voice.py;hermes_cli/web_models.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	client-wire:W01-transcript-rewind-carriers
d65b7d0760235210f5cf29c0eaaf98fe10078546	hermes_cli/cron.py;hermes_cli/gateway.py;hermes_cli/update_cmd.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	client-wire:W01-transcript-rewind-carriers
fcea2175e23fdeb95f7e615f0cc7d6e5f3f485b0	hermes_cli/_early_recovery.py;hermes_cli/banner.py;hermes_cli/config.py;hermes_cli/env_loader.py;hermes_cli/gateway.py;hermes_cli/gitlock.py;hermes_cli/main.py;hermes_cli/runtime_provider.py;hermes_cli/tools_config.py;hermes_cli/update_cmd.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	client-wire:W01-transcript-rewind-carriers
7ca19874593becb81aa742aae5800eac8c9088d2	hermes_cli/_install_repair.py;hermes_cli/_scan_venv_blockers.py;hermes_cli/backup.py;hermes_cli/config_defaults.py;hermes_cli/foreign_sessions.py;hermes_cli/gateway.py;hermes_cli/inventory.py;hermes_cli/main.py;hermes_cli/mcp_config.py;hermes_cli/plugins.py;hermes_cli/pt_input_extras.py;hermes_cli/runtime_provider.py;hermes_cli/sessions_cmd.py;hermes_cli/skills_hub.py;hermes_cli/stderr_timestamp.py;hermes_cli/terminal_breadcrumbs.py;hermes_cli/tools_config.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	client-wire:W01-transcript-rewind-carriers
149757a63ad06bd25e8c590715a826d94d1f468c	hermes_cli/tools_config.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	core-runtime:R09-merge-parent-integration
723dbda0414ce2d8fdc86283b76302537d91b724	hermes_cli/_parser.py;hermes_cli/cli_commands_mixin.py;hermes_cli/main.py;hermes_cli/tools_config.py;hermes_cli/update_cmd.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	authority:C01-canonical-routing
336b3216d51938f790f28f08e85bfba9d3ea543f	hermes_cli/_install_repair.py;hermes_cli/config_defaults.py;hermes_cli/main.py;hermes_cli/models.py;hermes_cli/skills_hub.py;hermes_cli/subcommands/skills.py;hermes_cli/subcommands/update.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	core-runtime:R09-merge-parent-integration
