commit	paths	cluster	disposition	contract	evidence	required
9b7ab9d65aeda7c535e0a91e5a1c0d951cb48180	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	portable-implemented-live-proof	Remote bot actions bind the owning connection instead of ambient Desktop state.	Source-qualified routes and canonical-chat leases in AppModelLive+CanonicalChat.swift and SourceQualifiedRoutingTests.	Exercise primary and foreign Bot Chat actions with colliding profile/session ids.
723dbda0414ce2d8fdc86283b76302537d91b724	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	merge-integration	Merge integration retained connection-bound remote actions while accepting upstream plugin movement.	Final-source C01 contract; merge is included in exact path inventory.	Covered by the C01 two-gateway live matrix; no separate client feature.
052513f65b6db0b6328dfe8d2c7efb21849fdc3f	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	merge-integration	Hybrid-routing merge reconciled remote owner routing with contemporaneous Bot Mode code.	Final-source C01 contract and exact merge-path verification.	Covered by C01 live routing proof; retain as merge-resolution evidence.
ddc78217fdc1a34a4b91c6f78362b20d8415aa43	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	merge-integration	Merge integrated current group-room fixes without a distinct mobile wire shape.	RoomEngine RoomStore and room projection tests cover the final portable state model.	Use the C04 Desktop/mobile room convergence matrix.
fb7f0602fbf01ec60b1199acb35b61148b022173	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	portable-implemented-live-proof	Remote-merge persistence must not drop durable room identity or tombstones.	RoomID tombstones RoomStore and RoomProjectionHydration tests; current audit shared-room row.	Prove rename disband and same-name recreation across Desktop and phone.
a2da0ab797edf5e7ca7d3f64591facbbc37ec7f2	apps/desktop/src/plugins/hermes-bots/plugin.js	C02-a2a-cron	gateway-owned-live-proof	Cron bot-chat delivery lands in the canonical Bot Chat and lets the addressed bot respond.	Talaria consumes canonical-chat history; cron execution/delivery is gateway-owned.	Run one cron bot-chat delivery and prove one canonical row response and no unrelated push.
9815319d5fcdb537a36b5a88f18c88188f5401db	apps/desktop/src/plugins/hermes-bots/plugin.js	C07-desktop-shell	desktop-only	Desktop tab hover close derives from the Electron tab close verb.	Talaria uses native navigation and has no hover tab strip.	N/A: do not port pointer-hover Electron tab chrome.
0287dfb0c2874c8716d27cf6a654a42b716be5e0	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	superseded	Intermediate bot-row policy opened the last conversation before canonical Bot Chat became final authority.	Later ff88f274 a9860d41 and e95dd466 define the retained contract.	No implementation; verify only the final canonical policy.
729782d058e683875bed55ad060d56925fe1e86a	apps/desktop/src/plugins/hermes-bots/plugin.js;website/docs/user-guide/bot-mode.md	C02-a2a-cron	portable-implemented-live-proof	Mention middleware identifies recipients while Hermes message_agent owns composition and delivery.	AppModelLive+A2A.swift and AgentInboxView prohibit client-authored recipient forwarding.	Live mention to exact local and foreign recipients including ambiguous handles.
ff88f27403e1131f7a1c4f859e51d5d28851bd8c	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	portable-implemented-live-proof	A bot row opens its canonical hidden Bot Chat rather than a recent scratch session.	CanonicalSessionProtocolTests and AppModelLive+CanonicalChat.swift.	Existing missing/existing/compressed Bot Chat live matrix.
a9860d413dadbde51a7d0691caa99e191bea36be	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	portable-implemented-live-proof	Canonical Bot Chat lookup is exact-name/lineage authority and no longer trusts pinned session ids.	Exact list include_hidden title and lineage checks in CanonicalSessionProtocolTests.	Prove ambiguity and stale-id recovery on a disposable profile.
e95dd466b120d013f53e48f11785fb01466e6587	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	portable-implemented-live-proof	A newly resolved canonical chat is persisted before it is opened or used.	Canonical-chat adoption and durable root/tip state in AppModelLive+CanonicalChat.swift.	Interrupt between create title adopt and first submit; recover the same row.
87b645f52ccc807df6304bcf1a1d4daa7e53f2ed	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	portable-implemented-live-proof	Registry lookup failure fails closed and cannot fork a replacement forever-chat.	Canonical lookup failure and ambiguity tests; current audit canonical row.	Simulate lookup outage and verify no session.create occurs.
