status	path	classification	disposition
M	agent/agent_init.py	ios-portable	OPEN checkpoint-management-or-server-runtime
M	agent/agent_runtime_helpers.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/auxiliary_client.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/background_review.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/chat_completion_helpers.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/codex_runtime.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/coding_context.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/conversation_compression.py	ios-portable	OPEN checkpoint-management-or-server-runtime
M	agent/curator.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/deadline.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/gemini_native_adapter.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/lsp/client.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/memory_manager.py	ios-portable	OPEN checkpoint-management-or-server-runtime
M	agent/memory_provider.py	ios-portable	OPEN checkpoint-management-or-server-runtime
M	agent/native_compaction.py	ios-portable	OPEN checkpoint-management-or-server-runtime
M	agent/process_bootstrap.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/prompt_builder.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/skill_utils.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/system_prompt.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
A	agent/terminal_env_provider.py	ios-portable	OPEN terminal-environment-management-or-server-runtime
A	agent/terminal_env_registry.py	ios-portable	OPEN terminal-environment-management-or-server-runtime
M	agent/tool_executor.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/tool_guardrails.py	ios-portable	portable server/runtime behavior; no new iOS wire unless named OPEN above
M	agent/turn_finalizer.py	ios-portable	OPEN checkpoint-management-or-server-runtime
A	apps/desktop/e2e/zoom-preservation.spec.ts	desktop-only	desktop/web renderer-local; no literal iOS port
A	apps/desktop/electron/backend-claim.test.ts	desktop-only	desktop/web renderer-local; no literal iOS port
