commit	paths	cluster	classification	disposition	talariaSlice	contract	evidence	required
37280c7e0c85de1902c95c9fa145acf114abc843	agent/agent_runtime_helpers.py;agent/context_compressor.py;agent/turn_context.py;run_agent.py	R09-merge-parent-integration	merge-integration	merge-integration	none	The merge retains changes from all parents; it introduces no separately portable mobile contract.	The checker unions every parent diff for this exact merge and verifies its complete endpoint path set.	Rely on the constituent cluster verification; no independent client feature is required.
149757a63ad06bd25e8c590715a826d94d1f468c	agent/agent_runtime_helpers.py;agent/context_compressor.py;agent/turn_context.py;run_agent.py	R09-merge-parent-integration	merge-integration	merge-integration	none	The merge retains changes from all parents; it introduces no separately portable mobile contract.	The checker unions every parent diff for this exact merge and verifies its complete endpoint path set.	Rely on the constituent cluster verification; no independent client feature is required.
2b33a09fcb59932cc28d094a5c2c033f0db7828a	agent/agent_runtime_helpers.py;agent/context_compressor.py;agent/turn_context.py;run_agent.py	R09-merge-parent-integration	merge-integration	merge-integration	none	The merge retains changes from all parents; it introduces no separately portable mobile contract.	The checker unions every parent diff for this exact merge and verifies its complete endpoint path set.	Rely on the constituent cluster verification; no independent client feature is required.
336b3216d51938f790f28f08e85bfba9d3ea543f	agent/agent_runtime_helpers.py;run_agent.py	R09-merge-parent-integration	merge-integration	merge-integration	none	The merge retains changes from all parents; it introduces no separately portable mobile contract.	The checker unions every parent diff for this exact merge and verifies its complete endpoint path set.	Rely on the constituent cluster verification; no independent client feature is required.
28a9b6c565b1490aca79c10a6aae6d851a550a84	agent/agent_runtime_helpers.py	R07-provider-and-host-runtime	gateway-host-runtime	host-only	none	Provider credentials, route selection, caching, and SDK request transforms are gateway-host runtime concerns.	Pinned provider/runtime paths prove the behavior is upstream host implementation rather than an app wire feature.	Run provider-host integration coverage; mobile consumes resulting turns only.
ca06b8768999c32f0af2a7bf4542678dd883cf79	agent/agent_runtime_helpers.py	R07-provider-and-host-runtime	gateway-host-runtime	host-only	none	Provider credentials, route selection, caching, and SDK request transforms are gateway-host runtime concerns.	Pinned provider/runtime paths prove the behavior is upstream host implementation rather than an app wire feature.	Run provider-host integration coverage; mobile consumes resulting turns only.
fc9cbc872d8050c22f1192b16bc5ff4aed471e10	cron/scheduler.py	R05-cron-execution-and-retirement	gateway-host-runtime	superseded	none	The earlier no-MEMORY cron behavior is superseded by ef04d846 enabling normal agent memory for cron.	The later pinned commit ef04d846 is in the same exact inventory.	Verify the final host behavior only.
37da0d4d50fe9b34841f596d285861d34b831e9a	agent/background_review.py;agent/conversation_loop.py;run_agent.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
1b92a9496206d06274e1837afe0ea82fee8d6374	agent/background_review.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
b883756b79374c8e8be770b383e51a421bcd8665	agent/background_review.py;run_agent.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
80aef061fe064d8bb1dfcf89813c9c9e1e4cbdba	agent/background_review.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
ef04d846e9505388d8eab61b7c6608acb652bf59	cron/scheduler.py	R05-cron-execution-and-retirement	portable-mobile-runtime	covered-by-open-slice	cron-push-isolation	Cron scheduling, delivery, and list/detail state must keep a single source of truth across gateway and mobile surfaces.	Pinned cron paths capture execution and retirement behavior; the cron push slice owns compatible mobile observation where a wire exists.	Exercise create, re-arm, run, stale due handling, and refresh after a cron.changed notification.
17d1095443bb72961fd22dc3bec4743c958a8ffa	agent/background_review.py;agent/conversation_loop.py;cron/scheduler.py;run_agent.py	R09-merge-parent-integration	merge-integration	merge-integration	none	The merge retains changes from all parents; it introduces no separately portable mobile contract.	The checker unions every parent diff for this exact merge and verifies its complete endpoint path set.	Rely on the constituent cluster verification; no independent client feature is required.
fb27614addac115d55299bc6538ae112fd01f688	agent/native_compaction.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
