commit	parents	classification	subject
de07bd5fab23c6fd76c5b988598ae5c1221fd091	057dcdf236f8a6a26721c10fcc6ccb72726e272a	ios-portable	fix(serve): emit BACKEND_PORT_IN_USE sentinel + exit 75 on port bind conflict (#93608)
c0ce7473bd1bdac7cdcf38369ec82ac32e75efc1	de07bd5fab23c6fd76c5b988598ae5c1221fd091	ios-portable	fix(serve): Windows conflict probe uses SO_EXCLUSIVEADDRUSE (SO_REUSEADDR binds over live listeners on WinSock)
d08f9e14f606724a370bbfb14ed3ebdc6ff009d9	c0ce7473bd1bdac7cdcf38369ec82ac32e75efc1	desktop-only	fix(desktop): never kill a healthy backend on a claim probe failure; surface real stderr (#93608)
7e500d2ead2251aa10f745bfdb32975dd81e1dba	d08f9e14f606724a370bbfb14ed3ebdc6ff009d9	desktop-only	fix(desktop): float and pin the HUD on Hyprland
74ad422d50e6d76e26ba5ce3b4d2a4d520e923dd	7e500d2ead2251aa10f745bfdb32975dd81e1dba	tests-metadata-merge	fmt(js): `npm run fix` on merge (#94046)
a0795acc831210970586a99f2263de5486eab245	74ad422d50e6d76e26ba5ce3b4d2a4d520e923dd	ios-portable	fix(codex): identify Hermes requests
28b758d5caa48020f0f4eb1bcdbb0b51d2d58d53	a0795acc831210970586a99f2263de5486eab245	desktop-only	feat(desktop): make Cmd/Ctrl+L focus the composer from anywhere
d7202d64ef078602fe7212e348766c913697e722	28b758d5caa48020f0f4eb1bcdbb0b51d2d58d53	desktop-only	refactor(desktop): derive HUD OS behavior from one windowing profile
652f5d740cb79008a42de8c18786623f0f8d1f0e	d7202d64ef078602fe7212e348766c913697e722	desktop-only	fix(desktop): sort HUD windowing imports for eslint
a251e87d826f4ef7c75a8927d5304e24cf43ef54	652f5d740cb79008a42de8c18786623f0f8d1f0e	tests-metadata-merge	fmt(js): `npm run fix` on merge (#94140)
8a8f74e789bc98bc8798748fec5a25637576c260	a251e87d826f4ef7c75a8927d5304e24cf43ef54	desktop-only	feat(desktop): let the in-app browser hold more than one tab
84758ed19dd0d7214bfc4677e6042e2d03d4f205	8a8f74e789bc98bc8798748fec5a25637576c260	desktop-only	fix(desktop): hold the typed address in the browser bar until the page moves
cd297653fa4fac85f45f7d3ad8e361db0f14e9be	84758ed19dd0d7214bfc4677e6042e2d03d4f205	desktop-only	refactor(desktop): mint browser tab ids at random rather than by slot
f3e0cf098b974fb603257a38d276f7dfafef822d	cd297653fa4fac85f45f7d3ad8e361db0f14e9be	desktop-only	fix(desktop): keep Home new sessions detached from the last project
85a55e2b30fa979cae61753319155bc62f544a1e	f3e0cf098b974fb603257a38d276f7dfafef822d	tests-metadata-merge	test(desktop): lock Home new-session detach against stale project cwd
b9eb37e5ebb66a7b920b47a85597490a0ef4dca1	85a55e2b30fa979cae61753319155bc62f544a1e	tests-metadata-merge	fmt(js): `npm run fix` on merge (#94176)
ead9d8e3d4f0cf6e890d4cf499247964417b8532	b9eb37e5ebb66a7b920b47a85597490a0ef4dca1	desktop-only	fix(desktop): stop transcript jumps when a turn settles
